"Tipo","Modulo","Archivo","Prioridad","Motivo","Recomendacion"
"SIGNAL_FORMS","U","C:\Users\clint\Downloads\bodega-system-proyecto\frontend\src\app\features\configuracion\pages\configuracion-page\configuracion-page.component.ts","MEDIA","Tiene formulario o inputs en HTML, pero no se detecta [formField].","Evaluar migrar formulario principal del modulo a Signal Forms."
"SIGNALS","U","C:\Users\clint\Downloads\bodega-system-proyecto\frontend\src\app\features\dashboard\pages\dashboard-page\dashboard-page.component.ts","MEDIA","Componente con estado local/listas/filtros sin signal().","Migrar propiedades de estado a signal() y valores derivados a computed()."
"SIGNAL_FORMS","U","C:\Users\clint\Downloads\bodega-system-proyecto\frontend\src\app\features\exportaciones\pages\exportaciones-page\exportaciones-page.component.ts","MEDIA","Tiene formulario o inputs en HTML, pero no se detecta [formField].","Evaluar migrar formulario principal del modulo a Signal Forms."
"VALIDACIONES","U","C:\Users\clint\Downloads\bodega-system-proyecto\frontend\src\app\features\exportaciones\pages\exportaciones-page\exportaciones-page.component.ts","MEDIA","Tiene inputs/formulario, pero no se detectan validaciones visibles.","Agregar validaciones y mensajes visibles; si se migra a Signal Forms, usar schema."
"SIGNAL_FORMS","U","C:\Users\clint\Downloads\bodega-system-proyecto\frontend\src\app\features\proveedores\pages\proveedores-page\proveedores-page.component.ts","MEDIA","Tiene formulario o inputs en HTML, pero no se detecta [formField].","Evaluar migrar formulario principal del modulo a Signal Forms."
"VALIDACIONES","U","C:\Users\clint\Downloads\bodega-system-proyecto\frontend\src\app\features\proveedores\pages\proveedores-page\proveedores-page.component.ts","MEDIA","Tiene inputs/formulario, pero no se detectan validaciones visibles.","Agregar validaciones y mensajes visibles; si se migra a Signal Forms, usar schema."
"SIGNAL_FORMS","U","C:\Users\clint\Downloads\bodega-system-proyecto\frontend\src\app\features\reportes\pages\reportes-page\reportes-page.component.ts","MEDIA","Tiene formulario o inputs en HTML, pero no se detecta [formField].","Evaluar migrar formulario principal del modulo a Signal Forms."
"VALIDACIONES","U","C:\Users\clint\Downloads\bodega-system-proyecto\frontend\src\app\features\reportes\pages\reportes-page\reportes-page.component.ts","MEDIA","Tiene inputs/formulario, pero no se detectan validaciones visibles.","Agregar validaciones y mensajes visibles; si se migra a Signal Forms, usar schema."
"SIGNAL_FORMS","U","C:\Users\clint\Downloads\bodega-system-proyecto\frontend\src\app\features\reposicion\pages\reposicion-page\reposicion-page.component.ts","MEDIA","Tiene formulario o inputs en HTML, pero no se detecta [formField].","Evaluar migrar formulario principal del modulo a Signal Forms."
"VALIDACIONES","U","C:\Users\clint\Downloads\bodega-system-proyecto\frontend\src\app\features\reposicion\pages\reposicion-page\reposicion-page.component.ts","MEDIA","Tiene inputs/formulario, pero no se detectan validaciones visibles.","Agregar validaciones y mensajes visibles; si se migra a Signal Forms, usar schema."
"SIGNAL_FORMS","U","C:\Users\clint\Downloads\bodega-system-proyecto\frontend\src\app\features\respaldo\pages\respaldo-page\respaldo-page.component.ts","MEDIA","Tiene formulario o inputs en HTML, pero no se detecta [formField].","Evaluar migrar formulario principal del modulo a Signal Forms."
"VALIDACIONES","U","C:\Users\clint\Downloads\bodega-system-proyecto\frontend\src\app\features\respaldo\pages\respaldo-page\respaldo-page.component.ts","MEDIA","Tiene inputs/formulario, pero no se detectan validaciones visibles.","Agregar validaciones y mensajes visibles; si se migra a Signal Forms, usar schema."
"SIGNAL_FORMS","U","C:\Users\clint\Downloads\bodega-system-proyecto\frontend\src\app\features\usuarios\pages\usuarios-page\usuarios-page.component.ts","MEDIA","Tiene formulario o inputs en HTML, pero no se detecta [formField].","Evaluar migrar formulario principal del modulo a Signal Forms."
"VALIDACIONES","U","C:\Users\clint\Downloads\bodega-system-proyecto\frontend\src\app\features\usuarios\pages\usuarios-page\usuarios-page.component.ts","MEDIA","Tiene inputs/formulario, pero no se detectan validaciones visibles.","Agregar validaciones y mensajes visibles; si se migra a Signal Forms, usar schema."
"SIGNAL_FORMS","U","C:\Users\clint\Downloads\bodega-system-proyecto\frontend\src\app\features\ventas\pages\ventas-page\ventas-page.component.ts","MEDIA","Tiene formulario o inputs en HTML, pero no se detecta [formField].","Evaluar migrar formulario principal del modulo a Signal Forms."
"SIGNALS_SERVICE","U","C:\Users\clint\Downloads\bodega-system-proyecto\frontend\src\app\features\alertas\services\alertas.service.ts","MEDIA","Servicio parece manejar estado/cache/listas sin signal().","Si el servicio guarda estado compartido, migrar estado a signal() y derivados a computed()."
"MIGRAR_BEHAVIORSUBJECT","U","C:\Users\clint\Downloads\bodega-system-proyecto\frontend\src\app\features\alertas\services\alertas.service.ts","BAJA","Usa Subject/BehaviorSubject; no es malo, pero Signals seria mas alineado con Angular 21.","Evaluar signal() en servicios nuevos o estado UI."
"SIGNALS_SERVICE","U","C:\Users\clint\Downloads\bodega-system-proyecto\frontend\src\app\features\auditoria\services\auditoria.service.ts","MEDIA","Servicio parece manejar estado/cache/listas sin signal().","Si el servicio guarda estado compartido, migrar estado a signal() y derivados a computed()."
"SIGNALS_SERVICE","U","C:\Users\clint\Downloads\bodega-system-proyecto\frontend\src\app\features\auth\services\auth.service.ts","MEDIA","Servicio parece manejar estado/cache/listas sin signal().","Si el servicio guarda estado compartido, migrar estado a signal() y derivados a computed()."
"SIGNALS_SERVICE","U","C:\Users\clint\Downloads\bodega-system-proyecto\frontend\src\app\features\caja\services\caja.service.ts","MEDIA","Servicio parece manejar estado/cache/listas sin signal().","Si el servicio guarda estado compartido, migrar estado a signal() y derivados a computed()."
"SIGNALS_SERVICE","U","C:\Users\clint\Downloads\bodega-system-proyecto\frontend\src\app\features\calidad\services\calidad.service.ts","MEDIA","Servicio parece manejar estado/cache/listas sin signal().","Si el servicio guarda estado compartido, migrar estado a signal() y derivados a computed()."
"SIGNALS_SERVICE","U","C:\Users\clint\Downloads\bodega-system-proyecto\frontend\src\app\features\checklist\services\checklist.service.ts","MEDIA","Servicio parece manejar estado/cache/listas sin signal().","Si el servicio guarda estado compartido, migrar estado a signal() y derivados a computed()."
"MIGRAR_BEHAVIORSUBJECT","U","C:\Users\clint\Downloads\bodega-system-proyecto\frontend\src\app\features\checklist\services\checklist.service.ts","BAJA","Usa Subject/BehaviorSubject; no es malo, pero Signals seria mas alineado con Angular 21.","Evaluar signal() en servicios nuevos o estado UI."
"SIGNALS_SERVICE","U","C:\Users\clint\Downloads\bodega-system-proyecto\frontend\src\app\features\cierre-diario\services\cierre-diario.service.ts","MEDIA","Servicio parece manejar estado/cache/listas sin signal().","Si el servicio guarda estado compartido, migrar estado a signal() y derivados a computed()."
"MIGRAR_BEHAVIORSUBJECT","U","C:\Users\clint\Downloads\bodega-system-proyecto\frontend\src\app\features\cierre-diario\services\cierre-diario.service.ts","BAJA","Usa Subject/BehaviorSubject; no es malo, pero Signals seria mas alineado con Angular 21.","Evaluar signal() en servicios nuevos o estado UI."
"SIGNALS_SERVICE","U","C:\Users\clint\Downloads\bodega-system-proyecto\frontend\src\app\features\compras\services\compras.service.ts","MEDIA","Servicio parece manejar estado/cache/listas sin signal().","Si el servicio guarda estado compartido, migrar estado a signal() y derivados a computed()."
"SIGNALS_SERVICE","U","C:\Users\clint\Downloads\bodega-system-proyecto\frontend\src\app\features\comprobantes\services\comprobantes.service.ts","MEDIA","Servicio parece manejar estado/cache/listas sin signal().","Si el servicio guarda estado compartido, migrar estado a signal() y derivados a computed()."
"SIGNALS_SERVICE","U","C:\Users\clint\Downloads\bodega-system-proyecto\frontend\src\app\features\inventario\services\inventario.service.ts","MEDIA","Servicio parece manejar estado/cache/listas sin signal().","Si el servicio guarda estado compartido, migrar estado a signal() y derivados a computed()."
"SIGNALS_SERVICE","U","C:\Users\clint\Downloads\bodega-system-proyecto\frontend\src\app\features\mantenimiento\services\mantenimiento.service.ts","MEDIA","Servicio parece manejar estado/cache/listas sin signal().","Si el servicio guarda estado compartido, migrar estado a signal() y derivados a computed()."
"SIGNALS_SERVICE","U","C:\Users\clint\Downloads\bodega-system-proyecto\frontend\src\app\features\productos\services\productos-backend.service.ts","MEDIA","Servicio parece manejar estado/cache/listas sin signal().","Si el servicio guarda estado compartido, migrar estado a signal() y derivados a computed()."
"SIGNALS_SERVICE","U","C:\Users\clint\Downloads\bodega-system-proyecto\frontend\src\app\features\productos\services\productos-backend.service.ts","ALTA","Servicio consume API y parece almacenar datos locales sin signal().","Crear signals para data/loading/error y exponer readonly signals al componente."
"SIGNALS_SERVICE","U","C:\Users\clint\Downloads\bodega-system-proyecto\frontend\src\app\features\proveedores\services\proveedores.service.ts","MEDIA","Servicio parece manejar estado/cache/listas sin signal().","Si el servicio guarda estado compartido, migrar estado a signal() y derivados a computed()."
"SIGNALS_SERVICE","U","C:\Users\clint\Downloads\bodega-system-proyecto\frontend\src\app\features\reposicion\services\reposicion.service.ts","MEDIA","Servicio parece manejar estado/cache/listas sin signal().","Si el servicio guarda estado compartido, migrar estado a signal() y derivados a computed()."
"SIGNALS_SERVICE","U","C:\Users\clint\Downloads\bodega-system-proyecto\frontend\src\app\features\respaldo\services\respaldo.service.ts","MEDIA","Servicio parece manejar estado/cache/listas sin signal().","Si el servicio guarda estado compartido, migrar estado a signal() y derivados a computed()."
"MIGRAR_BEHAVIORSUBJECT","U","C:\Users\clint\Downloads\bodega-system-proyecto\frontend\src\app\features\respaldo\services\respaldo.service.ts","BAJA","Usa Subject/BehaviorSubject; no es malo, pero Signals seria mas alineado con Angular 21.","Evaluar signal() en servicios nuevos o estado UI."
"SIGNALS_SERVICE","U","C:\Users\clint\Downloads\bodega-system-proyecto\frontend\src\app\features\usuarios\services\usuarios.service.ts","MEDIA","Servicio parece manejar estado/cache/listas sin signal().","Si el servicio guarda estado compartido, migrar estado a signal() y derivados a computed()."
"SIGNALS_SERVICE","U","C:\Users\clint\Downloads\bodega-system-proyecto\frontend\src\app\features\ventas\services\ventas.service.ts","MEDIA","Servicio parece manejar estado/cache/listas sin signal().","Si el servicio guarda estado compartido, migrar estado a signal() y derivados a computed()."
